,TITLE,TOT_DEGREE,TOT_ART
149,JOURNAL OF BIOENERGETICS AND BIOMEMBRANES,1,0
150,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,1,0
151,FASEB JOURNAL,2,0
152,BIOORGANIC & MEDICINAL CHEMISTRY LETTERS,5,0
153,BRITISH JOURNAL OF CANCER,1,0
154,EUROPEAN JOURNAL OF CANCER,1,0
155,CLINICAL CANCER RESEARCH,1,0
156,DRUG METABOLISM AND DISPOSITION,1,0
157,CHEMBIOCHEM,2,0
158,CELL,7,0
159,MEDICINAL RESEARCH REVIEWS,1,0
160,TOXICOLOGY LETTERS,1,0
161,STRUCTURE,35,0
162,MOLECULAR BIOSYSTEMS,6,0
163,BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,2,0
164,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,47,0
165,DRUG DISCOVERY TODAY,23,0
166,PLOS NEGLECTED TROPICAL DISEASES,1,0
167,BIOORGANIC & MEDICINAL CHEMISTRY,13,0
168,CHEMICAL BIOLOGY & DRUG DESIGN,3,0
169,CLINICAL INFECTIOUS DISEASES,1,0
170,PROTEINS-STRUCTURE FUNCTION AND GENETICS,31,0
171,EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS,3,0
172,JOURNAL OF VIROLOGY,1,0
173,NUCLEIC ACIDS RESEARCH,60,0
174,PHYSICAL BIOLOGY,3,0
175,FRONTIERS IN MICROBIOLOGY,2,0
176,ANNUAL REVIEW OF PHYSICAL CHEMISTRY,24,0
177,CHEMISTRY & BIODIVERSITY,1,0
178,"REVIEWS IN COMPUTATIONAL CHEMISTRY, VOL 16",1,0
179,"ANNUAL REVIEW OF BIOPHYSICS, VOL 42",3,0
180,JOURNAL OF MOLECULAR STRUCTURE-THEOCHEM,22,0
181,COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,1,0
182,CURRENT COMPUTER-AIDED DRUG DESIGN,1,0
183,ACS CATALYSIS,13,0
184,JOURNAL OF ORGANIC CHEMISTRY,42,0
185,CHEMISTRY-A EUROPEAN JOURNAL,69,0
186,CHEMICAL SOCIETY REVIEWS,26,0
187,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,153,0
188,JOURNAL OF THE CHEMICAL SOCIETY-PERKIN TRANSACTIONS 2,6,0
189,CHEMICAL COMMUNICATIONS,23,0
190,ORGANIC & BIOMOLECULAR CHEMISTRY,20,0
191,TETRAHEDRON LETTERS,6,0
192,ACS CENTRAL SCIENCE,2,0
193,EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,7,0
194,CHEMCATCHEM,1,0
195,MOLECULES,3,0
196,CHEMICAL RECORD,2,0
197,JOURNAL OF SYNTHETIC ORGANIC CHEMISTRY JAPAN,1,0
198,CHEMISTRY-AN ASIAN JOURNAL,5,0
199,JOURNAL OF THE CHEMICAL SOCIETY-PERKIN TRANSACTIONS 1,1,0
200,JOURNAL OF THE CHEMICAL SOCIETY-DALTON TRANSACTIONS,4,0
201,CHEMISTRYSELECT,1,0
202,SYNLETT,3,0
203,CANADIAN JOURNAL OF CHEMISTRY-REVUE CANADIENNE DE CHIMIE,5,0
204,TETRAHEDRON,10,0
205,ORGANIC LETTERS,34,0
206,INORGANIC CHEMISTRY,36,0
207,TETRAHEDRON-ASYMMETRY,7,0
208,JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS,1,0
209,NATURE NANOTECHNOLOGY,15,0
210,IEEE ELECTRON DEVICE LETTERS,1,0
211,NANO LETTERS,63,0
212,NATURE MATERIALS,15,0
213,ADVANCED MATERIALS,16,0
214,ACTA CRYSTALLOGRAPHICA SECTION A,4,0
215,PHYSICAL REVIEW X,4,0
216,DALTON TRANSACTIONS,11,0
217,IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART A-SYSTEMS AND HUMANS,1,0
218,NAVAL RESEARCH LOGISTICS,1,0
219,NANOSCALE,11,0
220,SMALL,6,0
221,ACS NANO,29,0
222,NATURE COMMUNICATIONS,21,0
223,ZEITSCHRIFT FUR KRISTALLOGRAPHIE,1,0
224,NATURE PHYSICS,5,0
225,EARTH AND PLANETARY SCIENCE LETTERS,1,0
226,JOURNAL OF MATERIALS CHEMISTRY,5,0
227,PREDICTION AND CALCULATION OF CRYSTAL STRUCTURES: METHODS AND APPLICATIONS,1,0
228,JOURNAL OF GLOBAL OPTIMIZATION,2,0
229,"IEEE SYMPOSIUM ON VISUAL ANALYTICS SCIENCE AND TECHNOLOGY 2008, PROCEEDINGS",1,0
230,COMPUTATIONAL MATERIALS SCIENCE,11,0
231,JOURNAL OF MATERIALS CHEMISTRY C,4,0
232,APPLICATIONS OF EVOLUTIONARY COMPUTATION IN CHEMISTRY,1,0
233,PHYSICAL REVIEW A,26,0
234,STRUCTURE WITH FOLDING & DESIGN,2,0
235,CHEMPHYSCHEM,30,0
236,CURRENT OPINION IN STRUCTURAL BIOLOGY,61,0
237,NATURE CHEMICAL BIOLOGY,8,0
238,BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,3,0
239,QUARTERLY REVIEWS OF BIOPHYSICS,13,0
240,CATALYSIS SCIENCE & TECHNOLOGY,2,0
241,JOURNAL OF THE CHEMICAL SOCIETY-FARADAY TRANSACTIONS,2,0
242,ISRAEL JOURNAL OF CHEMISTRY,6,0
243,INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,9,0
244,ATOMISTIC APPROACHES IN MODERN BIOLOGY: FROM QUANTUM CHEMISTRY TO MOLECULAR SIMULATIONS,4,0
245,CURRENT OPINION IN CHEMICAL BIOLOGY,10,0
246,NATURAL PRODUCT REPORTS,1,0
247,ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE,9,0
248,MOLECULAR CELL,2,0
249,CURRENT MEDICINAL CHEMISTRY,4,0
250,CURRENT PHARMACEUTICAL DESIGN,1,0
251,SCIENTIFIC REPORTS,8,0
252,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,1,0
253,JOURNAL OF CHEMINFORMATICS,6,0
254,PHARMACEUTICAL RESEARCH,3,0
255,BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION,1,0
256,MOLECULAR SYSTEMS BIOLOGY,3,0
257,PEERJ,1,0
258,CURRENT PROTEIN & PEPTIDE SCIENCE,1,0
259,ACS APPLIED MATERIALS & INTERFACES,2,0
260,JOURNAL OF CHEMICAL EDUCATION,7,0
261,PROTEINS AT INTERFACES III: STATE OF THE ART,1,0
262,PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,11,0
263,NATURE CHEMISTRY,9,0
264,BIOCHIP JOURNAL,1,0
265,ANNUAL REVIEW OF MATERIALS RESEARCH,4,0
266,LANGMUIR,16,0
267,CHEMISTRY OF MATERIALS,4,0
268,MATERIALS SCIENCE & ENGINEERING R-REPORTS,2,0
269,JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,1,0
270,ANALYTICAL CHEMISTRY,6,0
271,JOURNAL OF COLLOID AND INTERFACE SCIENCE,1,0
272,INTERFACE FOCUS,1,0
273,FLUID PHASE EQUILIBRIA,4,0
274,JOURNAL OF BIOSCIENCE AND BIOENGINEERING,1,0
275,BIOMATERIALS SCIENCE,1,0
276,TRENDS IN BIOTECHNOLOGY,3,0
277,SOLAR ENERGY MATERIALS AND SOLAR CELLS,2,0
278,MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,1,0
279,JOURNAL OF CELLULAR BIOCHEMISTRY,1,0
280,JOURNAL OF MATERIALS CHEMISTRY A,3,0
281,APPLIED PHYSICS LETTERS,25,0
282,PHYSICAL REVIEW,15,0
283,NATURE PHOTONICS,1,0
284,JOURNAL OF ALLOYS AND COMPOUNDS,1,0
285,SOLID STATE COMMUNICATIONS,4,0
286,ADVANCED FUNCTIONAL MATERIALS,4,0
287,ADVANCED OPTICAL MATERIALS,1,0
288,ANNALEN DER PHYSIK,2,0
289,PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES,1,0
290,REVIEWS OF MODERN PHYSICS,18,0
291,EPL,1,0
292,PHYSICAL REVIEW A-GENERAL PHYSICS,1,0
293,PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,1,0
294,OPTICS EXPRESS,1,0
295,JOURNAL OF APPLIED PHYSICS,9,0
296,PHYSICA C-SUPERCONDUCTIVITY AND ITS APPLICATIONS,1,0
297,APL MATERIALS,1,0
298,CHINESE JOURNAL OF CHEMICAL PHYSICS,1,0
299,CRYSTENGCOMM,5,0
300,CARBON,2,0
301,NANO RESEARCH,4,0
302,MACROMOLECULAR CHEMISTRY AND PHYSICS,1,0
303,JOURNAL OF SOLID STATE ELECTROCHEMISTRY,1,0
304,CHEMICAL VAPOR DEPOSITION,1,0
305,JOURNAL OF CRYSTAL GROWTH,1,0
306,BIOCHIMIE,1,0
307,CURRENT TOPICS IN MEDICINAL CHEMISTRY,3,0
308,GENOME RESEARCH,4,0
309,"ANNUAL REVIEW OF BIOPHYSICS, VOL 41",1,0
310,ANNUAL REVIEW OF CELL BIOLOGY,1,0
311,PLOS GENETICS,1,0
312,NATURE REVIEWS DRUG DISCOVERY,14,0
313,PHARMACOLOGICAL REVIEWS,1,0
314,TRENDS IN MOLECULAR MEDICINE,1,0
315,CURRENT OPINION IN IMMUNOLOGY,1,0
316,ANNUAL REVIEW OF BIOCHEMISTRY,7,0
317,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,1,0
318,JOURNAL OF BACTERIOLOGY,2,0
319,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,1,0
320,JOURNAL OF MOLECULAR GRAPHICS,6,0
321,COMMUNICATIONS OF THE ACM,4,0
322,CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY,1,0
323,PHYSICA STATUS SOLIDI B-BASIC RESEARCH,2,0
324,ORGANOMETALLICS,21,0
325,ADVANCED SYNTHESIS & CATALYSIS,8,0
326,COORDINATION CHEMISTRY REVIEWS,8,0
327,JOURNAL OF PHYSICS C-SOLID STATE PHYSICS,2,0
328,ACTA CRYSTALLOGRAPHICA,1,0
329,JOURNAL OF PHYSICS D-APPLIED PHYSICS,2,0
330,NANOTECHNOLOGY,3,0
331,NEW JOURNAL OF PHYSICS,3,0
332,2D MATERIALS,1,0
333,PHYSICA B & C,1,0
334,JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN,3,0
335,JOURNAL OF MATHEMATICAL PHYSICS,1,0
336,ACTA MECHANICA,1,0
337,ADVANCED ENGINEERING MATERIALS,1,0
338,AIP ADVANCES,1,0
339,ORGANIC ELECTRONICS,1,0
340,ADVANCES IN PHYSICS,1,0
341,EUROPHYSICS LETTERS,3,0
342,ACS PHOTONICS,1,0
343,DIAMOND AND RELATED MATERIALS,2,0
344,JOURNAL OF HARD MATERIALS,1,0
345,APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,1,0
346,JOURNAL OF SUPERCOMPUTING,1,0
347,HIGH PERFORMANCE COMPUTING - HIPC 2003,1,0
348,ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,1,0
349,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,2,0
350,PROCEEDINGS OF THE IEEE,4,0
351,JOURNAL OF COMPUTATIONAL PHYSICS,14,0
352,PROTEIN SIMULATIONS,3,0
353,"PARALLEL PROCESSING AND APPLIED MATHEMATICS, PT I",1,0
354,INTERNATIONAL JOURNAL OF PEPTIDE AND PROTEIN RESEARCH,3,0
355,AUSTRALIAN JOURNAL OF CHEMISTRY,6,0
356,COMPUTING IN SCIENCE & ENGINEERING,3,0
357,COMPUTATIONAL AND THEORETICAL CHEMISTRY,1,0
358,CRYSTALS,1,0
359,ZEITSCHRIFT FUR PHYSIKALISCHE CHEMIE-INTERNATIONAL JOURNAL OF RESEARCH IN PHYSICAL CHEMISTRY & CHEMICAL PHYSICS,1,0
360,IONIC LIQUIDS,1,0
361,JOURNAL OF CHEMICAL AND ENGINEERING DATA,1,0
362,ELECTRONIC EFFECTS IN ORGANIC CHEMISTRY,2,0
363,NEW JOURNAL OF CHEMISTRY,4,0
364,GREEN CHEMISTRY,1,0
365,JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY,1,0
366,FARADAY DISCUSSIONS,10,0
367,PURE AND APPLIED CHEMISTRY,6,0
368,MULTISCALE MOLECULAR METHODS IN APPLIED CHEMISTRY,2,0
369,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION IN ENGLISH,5,0
370,PROGRESS IN SOLID STATE CHEMISTRY,1,0
371,SCIENCE IN CHINA SERIES B-CHEMISTRY,1,0
372,NANO TODAY,2,0
373,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON BIOMEMBRANES,1,0
374,PROCEEDINGS OF THE ACM SIGSPATIAL INTERNATIONAL WORKSHOP ON GEOSTREAMING (IWGS) 2012,1,0
375,"ANNUAL REPORTS ON NMR SPECTROSCOPY, VOL 67",1,0
376,THEORETICA CHIMICA ACTA,24,0
377,ACTA CHIMICA ACADEMIAE SCIENTARIUM HUNGARICAE,1,0
378,JOURNAL OF MOLECULAR SPECTROSCOPY,36,0
379,JOURNAL OF NANOPARTICLE RESEARCH,1,0
380,THEOCHEM-JOURNAL OF MOLECULAR STRUCTURE,2,0
381,"ADVANCES IN QUANTUM CHEMISTRY, VOL. 61",1,0
382,JOURNAL OF PHYSICS B-ATOMIC MOLECULAR AND OPTICAL PHYSICS,5,0
383,PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,1,0
384,CANADIAN JOURNAL OF CHEMISTRY,2,0
385,JOURNAL OF RESEARCH OF THE NATIONAL BUREAU OF STANDARDS,1,0
386,"INTERNATIONAL REVIEW OF CELL AND MOLECULAR BIOLOGY, VOL 284",1,0
387,NATURE METHODS,4,0
388,RNA-A PUBLICATION OF THE RNA SOCIETY,2,0
389,JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,8,0
390,"NUMERICAL COMPUTER METHODS, PT D",3,0
391,NATURE REVIEWS MOLECULAR CELL BIOLOGY,4,0
392,METHODS,2,0
393,CURRENT OPINION IN MOLECULAR THERAPEUTICS,1,0
394,TRANSACTIONS OF THE FARADAY SOCIETY,2,0
395,ZEITSCHRIFT FUR PHYSIKALISCHE CHEMIE-LEIPZIG,2,0
396,"ADVANCES IN CHEMICAL PHYSICS, VOL XCIII: NEW METHODS IN COMPUTATIONAL QUANTUM MECHANICS",1,0
397,PHYSICAL REVIEW D,3,0
398,ASTRONOMY & ASTROPHYSICS,1,0
399,NUCLEAR PHYSICS B,1,0
400,"APPLIED PARALLEL AND SCIENTIFIC COMPUTING, PT II",1,0
401,REPORTS ON PROGRESS IN PHYSICS,4,0
402,MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,3,0
403,ANNALS OF PHYSICS,3,0
404,SURFACE SCIENCE,2,0
405,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,1,0
406,"ADVANCES IN CHEMICAL PHYSICS, VOL XCIII",4,0
407,PARALLEL COMPUTING,1,0
408,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY A-CHEMISTRY,6,0
409,CHIMIA,3,0
410,EUROPEAN PHYSICAL JOURNAL D,1,0
411,"REVIEWS IN COMPUTATIONAL CHEMISTRY, VOL 14",2,0
412,PROGRESS OF THEORETICAL PHYSICS SUPPLEMENT,1,0
413,EUROPEAN PHYSICAL JOURNAL B,1,0
414,JOURNAL OF THE ACM,3,0
415,"ADVANCES IN CHEMICAL PHYSICS, VOL 131",1,0
416,"ADVANCES IN POLYMER SCIENCE: VISCOELASTICITY, ATOMISTIC MODELS, STATISTICAL CHEMISTRY",1,0
417,MACROMOLECULAR RAPID COMMUNICATIONS,1,0
418,MACROMOLECULAR THEORY AND SIMULATIONS,1,0
419,MACROMOLECULES,11,0
420,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,3,0
421,CURRENT OPINION IN COLLOID & INTERFACE SCIENCE,1,0
422,ACTA POLYMERICA,2,0
423,TRANSITION METAL CATALYZED ENANTIOSELECTIVE ALLYLIC SUBSTITUTION IN ORGANIC SYNTHESIS,1,0
424,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,4,0
425,"ELECTRON TRANSFER-FROM ISOLATED MOLECULES TO BIOMOLECULES, PT 1",1,0
426,"ADVANCES IN QUANTUM CHEMISTRY, VOL 36: FROM ELECTRONIC STRUCTURE TO TIME-DEPENDENT PROCESSES",1,0
427,PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON SERIES A-MATHEMATICAL AND PHYSICAL SCIENCES,5,0
428,PROGRESS OF THEORETICAL PHYSICS,1,0
429,DISCUSSIONS OF THE FARADAY SOCIETY,3,0
430,CURRENT ORGANIC CHEMISTRY,3,0
431,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA-PHYSICAL SCIENCES,1,0
432,"PHYSICA STATUS SOLIDI C - CURRENT TOPICS IN SOLID STATE PHYSICS, VOL 6, NO 1",1,0
433,PROCEEDINGS OF THE ROYAL SOCIETY OF LONDON SERIES A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,2,0
434,PHILOSOPHICAL MAGAZINE A-PHYSICS OF CONDENSED MATTER STRUCTURE DEFECTS AND MECHANICAL PROPERTIES,1,0
435,JOURNAL OF PHYSICS F-METAL PHYSICS,1,0
436,PHYSICA A,1,0
437,PROGRESS IN MATERIALS SCIENCE,1,0
438,"ANNUAL REVIEW OF PHYSICAL CHEMISTRY, VOL 62",1,0
439,"ADVANCES IN PROTEIN CHEMISTRY, VOL 53",1,0
440,JOURNAL DE PHYSIQUE I,1,0
441,PHARMACOLOGY & THERAPEUTICS,1,0
442,PROTEIN ENGINEERING,3,0
443,JOURNAL OF CHEMICAL INFORMATION AND COMPUTER SCIENCES,69,0
444,NATURE STRUCTURAL & MOLECULAR BIOLOGY,4,0
445,ACS CHEMICAL BIOLOGY,1,0
446,COMBINATORIAL CHEMISTRY & HIGH THROUGHPUT SCREENING,3,0
447,JOURNAL OF MOLECULAR RECOGNITION,1,0
448,MINI-REVIEWS IN MEDICINAL CHEMISTRY,2,0
449,ADVANCED DRUG DELIVERY REVIEWS,4,0
450,JOURNAL OF BIOMOLECULAR SCREENING,2,0
451,FARMACO,1,0
452,CURRENT OPINION IN DRUG DISCOVERY & DEVELOPMENT,5,0
453,CLASSICAL AND THREE-DIMENSIONAL QSAR IN AGROCHEMISTRY,1,0
454,ACS MEDICINAL CHEMISTRY LETTERS,2,0
455,MEDCHEMCOMM,3,0
456,JOURNAL OF CHEMICAL DOCUMENTATION,11,0
457,QSAR & COMBINATORIAL SCIENCE,6,0
458,EXPERT OPINION ON DRUG DISCOVERY,1,0
459,GENOME BIOLOGY,4,0
460,BMC BIOLOGY,1,0
461,CELL BIOCHEMISTRY AND BIOPHYSICS,1,0
462,INTERNATIONAL JOURNAL OF SUPERCOMPUTER APPLICATIONS AND HIGH PERFORMANCE COMPUTING,1,0
463,"ADVANCES IN PROTEIN CHEMISTRY AND STRUCTURAL BIOLOGY, VOL 85: COMPUTATIONAL CHEMISTRY METHODS IN STRUCTURAL BIOLOGY",2,0
464,PROTEIN ENGINEERING DESIGN & SELECTION,1,0
465,COMPARATIVE AND FUNCTIONAL GENOMICS,1,0
