,TITLE,JOURNAL_ID,YEAR,CITED_IN,CITED_OUT
135,Molecular Dynamics Simulations of a DMPC Bilayer Using Nonadditive Interaction Models,47,2009,1,0
136,Charge Equilibration Force Fields for Lipid Environments: Applications to Fully Hydrated DPPC Bilayers and DMPC-Embedded Gramicidin A,47,2009,2,0
137,Energetics of K(+) permeability through Gramicidin A by forward-reverse steered molecular dynamics,47,2008,1,0
138,Advanced Potential Energy Surfaces for Condensed Phase Simulation,47,2014,1,0
139,Lipid bilayer simulations: Expanding time and space with the General Amber Force Field,47,2012,1,0
140,GAFFlipid: a General Amber Force Field for the accurate molecular dynamics simulation of phospholipid,47,2012,1,0
141,On the thermodynamic stability of a charged arginine side chain in a transmembrane helix,47,2007,2,0
142,THE GRAMICIDIN-A CHANNEL - A REVIEW OF ITS PERMEABILITY CHARACTERISTICS WITH SPECIAL REFERENCE TO THE SINGLE-FILE ASPECT OF TRANSPORT,47,1981,1,0
143,Calculating free-energy profiles in biomolecular systems from fast nonequilibrium processes,47,2008,1,0
144,Accelerating Molecular Dynamic Simulation on Graphics Processing Units,47,2009,2,0
145,A High-Throughput Steered Molecular Dynamics Study on the Free Energy Profile of Ion Permeation through Gramicidin A,47,2011,1,0
146,Generalized coarse-grained model based on point multipole and Gay-Berne potentials,47,2006,1,0
147,A transferable coarse-grained model for hydrogen-bonding liquids,47,2008,1,0
148,Electrostatics on particles: Phenomenological and orientational density functional theory approach,47,2002,1,0
149,"REPRESENTATION OF VANDERWAALS (VDW) INTERACTIONS IN MOLECULAR MECHANICS FORCE-FIELDS - POTENTIAL FORM, COMBINATION RULES, AND VDW PARAMETERS",47,1992,1,0
150,Quantum mechanical force field for water with explicit electronic polarization,47,2013,1,0
151,"Development, applications and challenges of ReaxFF reactive force field in molecular simulations",47,2016,1,0
152,On the origin of the electrostatic potential difference at a liquid-vacuum interface,47,2008,1,0
153,Many-Body Polarization Effects and the Membrane Dipole Potential,47,2009,3,0
154,Polarizable Empirical Force Field for Acyclic Polyalcohols Based on the Classical Drude Oscillator,47,2013,2,0
155,Effect of water on gas explosions: combined ReaxFF and ab initio MD calculations,47,2014,1,0
156,Induction of Peptide Bond Dipoles Drives Cooperative Helix Formation in the (AAQAA)(3) Peptide,47,2014,1,0
157,Recent Advances in Polarizable Force Fields for Macromolecules: Microsecond Simulations of Proteins Using the Classical Drude Oscillator Model,47,2014,2,0
158,Chemomechanics control of tearing paths in graphene,47,2012,1,0
159,Gramicidin A Backbone and Side Chain Dynamics Evaluated by Molecular Dynamics Simulations and Nuclear Magnetic Resonance Experiments. I: Molecular Dynamics Simulations,47,2011,1,0
160,CHARMM Drude Polarizable Force Field for Aldopentofuranoses and Methyl-aldopentofuranosides,47,2015,1,0
161,Atomic-level simulation of current-voltage relationships in single-file ion channels,47,2013,1,0
162,X-ray structure of a voltage-dependent K+ channel,47,2003,1,0
163,Trypsin-Ligand Binding Free Energies from Explicit and Implicit Solvent Simulations with Polarizable Potential,47,2009,2,0
164,Calculation of protein-ligand binding free energy by using a polarizable potential,47,2008,2,0
165,The many roles of computation in drug discovery,47,2004,2,0
166,Molecular dynamics simulations of biomolecules,47,2002,5,0
167,Molecular dynamics and protein function,47,2005,1,0
168,Synthetic peptides as models for intrinsic membrane proteins,47,2003,1,0
169,Update of the CHARMM All-Atom Additive Force Field for Lipids: Validation on Six Lipid Types,47,2010,3,0
170,Structure of fully hydrated fluid phase DMPC and DLPC lipid bilayers using X-ray scattering from oriented multilamellar arrays and from unilamellar vesicles,47,2005,1,0
171,Lipid bilayer structure determined by the simultaneous analysis of neutron and x-ray scattering data,47,2008,1,0
172,Exploring the effects of single point mutations in nAChR transmembrane domain: A molecular dynamics study,47,2012,1,0
173,Lipid Models for United-Atom Molecular Dynamics Simulations of Proteins,47,2009,1,0
174,A polarizable model of water for molecular dynamics simulations of biomolecules,47,2006,1,0
175,A simple polarizable model of water based on classical Drude oscillators,47,2003,3,0
176,Modeling induced polarization with classical Drude oscillators: Theory and molecular dynamics simulation algorithm,47,2003,4,0
177,Revised Parameters for the AMOEBA Polarizable Atomic Multipole Water Model,47,2015,1,0
178,An Empirical Polarizable Force Field Based on the Classical Drude Oscillator Model: Development History and Recent Applications,47,2016,1,0
179,Update of the Cholesterol Force Field Parameters in CHARMM,47,2012,1,0
180,A microdomain formed by the extracellular ends of the transmembrane domains promotes activation of the G protein-coupled alpha-factor receptor,47,2004,1,0
181,Accelerated Molecular Dynamics Simulations with the AMOEBA Polarizable Force Field on Graphics Processing Units,47,2013,1,0
182,Steered molecular dynamics simulations of Na+ permeation across the gramicidin a channel,47,2006,1,0
183,Polarizable Force Field for Peptides and Proteins Based on the Classical Drude Oscillator,47,2013,2,0
184,Molecular modeling and dynamics studies with explicit inclusion of electronic polarizability: theory and applications,47,2009,3,0
185,Molecular Dynamics Simulation of Hydrated DPPC Monolayers Using Charge Equilibration Force Fields,47,2012,1,0
186,Study of Metal/Epoxy Interfaces between Epoxy Precursors and Metal Surfaces Using a Newly Developed Reactive Force Field for Alumina-Amine Adhesion,47,2015,1,0
187,"A Stochastic, Resonance-Free Multiple Time-Step Algorithm for Polarizable Models That Permits Very Large Time Steps",47,2016,1,0
188,The MARTINI force field: Coarse grained model for biomolecular simulations,47,2007,5,0
189,Coarse grained model for semiquantitative lipid simulations,47,2004,1,0
190,Explicit reversible integrators for extended systems dynamics,47,1996,1,0
191,The multiple time step r-RESPA procedure and polarizable potentials based on induced dipole moments,47,2006,1,0
192,A multiscale coarse-grained polarizable solvent model for handling long tail bulk electrostatics,47,2013,1,0
193,Combining a Polarizable Force-Field and a Coarse-Grained Polarizable Solvent Model. II. Accounting for Hydrophobic Effects,47,2011,1,0
194,Molecular Dynamics Simulations of Liquid Condensed to Liquid Expanded Transitions in DPPC Monolayers,47,2010,1,0
195,A new approach to reactive potentials with fluctuating charges: Quadratic valence-bond model,47,2004,1,0
196,Classical fluctuating charge theories: The maximum entropy valence bond formalism and relationships to previous models,47,2001,1,0
197,Development and Validation of ReaxFF Reactive Force Field for Hydrocarbon Chemistry Catalyzed by Nickel,47,2010,1,0
198,The Gramicidin Channel Ion Permeation Free-Energy Profile: Direct and Indirect Effects of CHARMM Force Field Improvements,47,2009,1,0
199,MOLECULAR HARDNESS AND SOFTNESS PARAMETERS AND THEIR USE IN CHEMISTRY,47,1988,1,0
200,Spontaneous Self-Assembly of Silica Nanocages into Inorganic Framework Materials,47,2009,1,0
201,LOCATION OF ION-BINDING SITES IN THE GRAMICIDIN CHANNEL BY X-RAY-DIFFRACTION,47,1991,1,0
202,Free Energetics and the Role of Water in the Permeation of Methyl Guanidinium across the Bilayer-Water Interface: Insights from Molecular Dynamics Simulations Using Charge Equilibration Potentials,47,2013,2,0
203,ABSOLUTE HARDNESS - COMPANION PARAMETER TO ABSOLUTE ELECTRONEGATIVITY,47,1983,1,0
204,Polarizable Empirical Force Field for Hexopyranose Monosaccharides Based on the Classical Drude Oscillator,47,2015,1,0
205,CHARMM fluctuating charge force field for proteins: II - Protein/solvent properties from molecular dynamics simulations using a nonadditive electrostatic model,47,2004,3,0
206,CHARMM fluctuating charge force field for proteins: I parameterization and application to bulk organic liquid simulations,47,2004,2,0
207,Exploring Ion Permeation Energetics in Gramicidin A Using Polarizable Charge Equilibration Force Fields,47,2009,2,0
208,Revisiting the hexane-water interface via molecular dynamics simulations using nonadditive alkane-water potentials,47,2006,1,0
209,Accurate Evaluation of Ion Conductivity of the Gramicidin A Channel Using a Polarizable Force Field without Any Corrections,47,2016,1,0
210,Free Energy Simulations with the AMOEBA Polarizable Force Field and Metadynamics on GPU Platform,47,2016,1,0
211,Scalable molecular dynamics with NAMD,47,2005,5,0
212,Improved formulas for the calculation of the electrostatic contribution to the intermolecular interaction energy from multipolar expansion of the electronic distribution,47,2003,1,0
213,CHARGE EQUILIBRATION FOR MOLECULAR-DYNAMICS SIMULATIONS,47,1991,2,0
214,Consistent treatment of inter- and intramolecular polarization in molecular mechanics calculations,47,2002,3,0
215,Temperature and pressure dependence of the AMOEBA water model,47,2004,2,0
216,Polarizable atomic multipole water model for molecular mechanics simulation,47,2003,4,0
217,Potentials and algorithms for incorporating polarizability in computer simulations,47,2002,1,0
218,Formyl peptide receptor-like proteins are a novel family of vomeronasal chemosensors,47,2009,1,0
219,A Polarizable Force-Field for Cholesterol and Sphingomyelin,47,2013,2,0
220,Computational studies of the gramicidin channel,47,2002,1,0
221,ION-TRANSPORT IN A MODEL GRAMICIDIN CHANNEL - STRUCTURE AND THERMODYNAMICS,47,1991,1,0
222,Ion selectivity in channels and transporters,47,2011,1,0
223,Early maturation processes in coal. Part 2: Reactive dynamics simulations using the ReaxFF reactive force field on Morwell Brown coal structures,47,2009,1,0
224,"Differential Deformability of the DNA Minor Groove and Altered BI/BII Backbone Conformational Equilibrium by the Monovalent Ions Li+, Na+, K+, and Rb+ via Water-Mediated Hydrogen Bonding",47,2015,1,0
225,All- Atom Polarizable Force Field for DNA Based on the Classical Drude Oscillator Model,47,2014,2,0
226,"Competition among Li+, Na+, K+, and Rb+ Monovalent Ions for DNA in Molecular Dynamics Simulations Using the Additive CHARMM36 and Drude Polarizable Force Fields",47,2015,1,0
227,"Balancing the Interactions of Ions, Water, and DNA in the Drude Polarizable Force Field",47,2014,2,0
228,"Differential Impact of the Monovalent Ions Li+, Na+, K+, and Rb+ on DNA Conformational Properties",47,2015,1,0
229,Polarizable atomic multipole X-ray refinement: application to peptide crystals,47,2009,1,0
230,Anisotropic Coarse-Grained Model for Proteins Based On Gay-Berne and Electric Multipole Potentials,47,2014,1,0
231,Polarizable Atomic Multipole-Based AMOEBA Force Field for Proteins,47,2013,2,0
232,Efficient treatment of induced dipoles,47,2015,1,0
233,Biomolecular simulations of membranes: Physical properties from different force fields,47,2008,2,0
234,Low Free Energy Barrier for Ion Permeation Through Double-Helical Gramicidin,47,2009,1,0
235,SURFACE DIPOLE-MOMENTS OF LIPIDS AT THE ARGON-WATER INTERFACE - SIMILARITIES AMONG GLYCEROL-ESTER-BASED LIPIDS,47,1990,1,0
236,SOLID-STATE C-13-NMR STUDIES OF THE EFFECTS OF SODIUM-IONS ON THE GRAMICIDIN-A ION CHANNEL,47,1990,1,0
237,1-PALMITOYL-2-PYRENEDECANOYL GLYCEROPHOSPHOLIPIDS AS MEMBRANE PROBES - EVIDENCE FOR REGULAR DISTRIBUTION IN LIQUID-CRYSTALLINE PHOSPHATIDYLCHOLINE BILAYERS,47,1985,1,0
238,Temperature Dependence of Gramicidin Channel Transport and Structure,47,2013,1,0
239,Calculation of the dielectric permittivity profile for a nonuniform system: Application to a lipid bilayer simulation,47,2003,1,0
240,"Fluctuating charge, polarizable dipole, and combined models: Parameterization from ab initio quantum chemistry",47,1999,2,0
241,"DISTRIBUTED MULTIPOLE ANALYSIS, OR HOW TO DESCRIBE A MOLECULAR CHARGE-DISTRIBUTION",47,1981,1,0
242,MOLECULAR DYNAMICS SIMULATIONS WITH INTERACTION POTENTIALS INCLUDING POLARIZATION Development of a noniterative method and application to water,47,1990,1,0
243,Shock waves in high-energy materials: The initial chemical events in nitramine RDX,47,2003,1,0
244,Evaluating Force Fields for the Computational Prediction of Ionized Arginine and Lysine Side-Chains Partitioning into Lipid Bilayers and Octanol,47,2015,1,0
245,MOLECULAR POLARIZABILITIES CALCULATED WITH A MODIFIED DIPOLE INTERACTION,47,1981,2,0
246,Structural basis for the gramicidin a channel specificity probed by solid state NMR,47,1998,1,0
247,Sign determination of dipolar couplings in field-oriented bicelles by variable angle sample spinning (VASS),47,1999,1,0
248,An empirical charge transfer potential with correct dissociation limits,47,2004,1,0
249,ReaxFF(SiO) reactive force field for silicon and silicon oxide systems,47,2003,1,0
250,ReaxFF: A reactive force field for hydrocarbons,47,2001,1,0
251,Atomistic-scale simulations of the initial chemical events in the thermal initiation of triacetonetriperoxide,47,2005,1,0
252,Computational chemical investigation into isorenieratene cyclisation,47,2003,1,0
253,Electrostatics of Deformable Lipid Membranes,47,2010,1,0
254,The electrostatics of solvent and membrane interfaces and the role of electronic polarizability,47,2010,1,0
255,Polarizable empirical force field for alkanes based on the classical drude oscillator model,47,2005,1,0
256,Velocity-scaling optimized replica exchange molecular dynamics of proteins in a hybrid explicit/implicit solvent,47,2011,1,0
257,Systematic Improvement of a Classical Molecular Model of Water,47,2013,2,0
258,Using cryo-EM to measure the dipole potential of a lipid membrane,47,2006,1,0
259,Modeling Local Structural Rearrangements Using FEP/REST: Application to Relative Binding Affinity Predictions of CDK2 Inhibitors,47,2013,2,0
260,General Model for Treating Short-Range Electrostatic Penetration in a Molecular Mechanics Force Field,47,2015,1,0
261,REPRESENTATION OF THE MOLECULAR ELECTROSTATIC POTENTIAL BY ATOMIC MULTIPOLE AND BOND DIPOLE MODELS,47,1988,1,0
262,Solvation energies of amino acid side chains and backbone in a family of host-guest pentapeptides,47,1996,1,0
263,Gay-Berne and electrostatic multipole based coarse-grain potential in implicit solvent,47,2011,1,0
264,Automation of AMOEBA polarizable force field parameterization for small molecules,47,2012,1,0
265,A New Coarse-Grained Model for Water: The Importance of Electrostatic Interactions,47,2010,2,0
266,Incorporation of a QM/MM Buffer Zone in the Variational Double Self-Consistent Field Method,47,2008,1,0
267,Molecular Dynamics Simulation of Organic Solvents Based on the Coarse-Grained Model,47,2011,1,0
268,Coarse-grained simulations for organic molecular liquids based on Gay-Berne and electric multipole potentials,47,2013,1,0
269,Computational discovery and experimental verification of tyrosine kinase inhibitor pazopanib for the reversal of memory and cognitive deficits in rat model neurodegeneration,47,2015,1,0
270,Valence State Parameters of All Transition Metal Atoms in Metalloproteins-Development of ABEEM sigma pi Fluctuating Charge Force Field,47,2014,1,0
271,Polarizable Water Model for the Coarse-Grained MARTINI Force Field,47,2010,4,0
272,Combined ab initio empirical approach for optimization of Lennard-Jones parameters,47,1998,1,0
273,Six-site polarizable model of water based on the classical Drude oscillator,47,2013,1,0
274,Development of a Polarizable Force Field Using Multiple Fluctuating Charges per Atom,47,2010,1,0
275,P-glycoprotein senses its substrates and the lateral membrane packing density: Consequences for the catalytic cycle,47,2008,1,0
276,Structure of P-Glycoprotein Reveals a Molecular Basis for Poly-Specific Drug Binding,47,2009,2,0
277,UNIDIRECTIONAL FLUXES OF RHODAMINE-123 IN MULTIDRUG-RESISTANT CELLS - EVIDENCE AGAINST DIRECT DRUG EXTRUSION FROM THE PLASMA-MEMBRANE,47,1994,1,0
278,The power of the pump: Mechanisms of action of P-glycoprotein (ABCB1),47,2006,1,0
279,Multidrug-resistant cancer cells contain two populations of P-glycoprotein with differently stimulated P-gp ATPase activities: evidence from atomic force microscopy and biochemical analysis,47,2005,1,0
280,Molecular models of human P-glycoprotein in two different catalytic states,47,2009,1,0
281,Characterization of the dexniguldipine binding site in the multidrug resistance-related transport protein P-glycoprotein by photoaffinity labeling and mass spectrometry,47,2002,1,0
282,HG-829 Is a Potent Noncompetitive Inhibitor of the ATP-Binding Cassette Multidrug Resistance Transporter ABCB1,47,2012,1,0
283,Membrane protein crystallization,47,2003,1,0
284,"Structure of MsbA from E-coli: A homolog of the multidrug resistance ATP binding cassette (ABC) transporters (Retracted Article. See vol 314, pg 1875, 2006)",47,2001,1,0
285,"Structure of MsbA from E. coli: A homolog of the multidrug resistance ATP binding cassette (ABC) transporters (Retraction of vol 293, pg 1793, 2001)",47,2006,1,0
286,Molecular insight into conformational transmission of human P-glycoprotein,47,2013,1,0
287,Fragment-Based Screening by Protein Crystallography: Successes and Pitfalls,47,2012,1,0
288,Multiple Transport-Active Binding Sites Are Available for a Single Substrate on Human P-Glycoprotein (ABCB1),47,2013,1,0
289,Flavonoids: A class of modulators with bifunctional interactions at vicinal ATP- and steroid-binding sites on mouse P-glycoprotein,47,1998,1,0
290,IDENTIFICATION OF RESIDUES IN THE 1ST CYTOPLASMIC LOOP OF P-GLYCOPROTEIN INVOLVED IN THE FUNCTION OF CHIMERIC HUMAN MDR1-MDR2 TRANSPORTERS,47,1992,1,0
291,"Reversal of P-glycoprotein-mediated multidrug resistance by a potent cyclopropyldibenzosuberane modulator, LY335979",47,1996,1,0
292,Structure of the multidrug ABC transporter Sav1866 from Staphylococcus aureus in complex with AMP-PNP,47,2007,2,0
293,Structure of a bacterial multidrug ABC transporter,47,2006,2,0
294,Nucleotide binding to the multidrug resistance P-glycoprotein as studied by ESR spectroscopy,47,2005,1,0
295,"Iodomycin and iodipine, a structural analogue of azidopine, bind to a common domain in hamster P-glycoprotein",47,1999,1,0
296,Localization of the iodomycin binding site in hamster P-glycoprotein,47,1997,1,0
297,Homology modelling of human P-glycoprotein,47,2015,1,0
298,Cholesterol: Coupling between membrane microenvironment and ABC transporter activity,47,2007,1,0
299,REVERSAL OF MULTIDRUG-RESISTANCE PHENOTYPE BY SURFACTANTS - RELATIONSHIP TO MEMBRANE LIPID FLUIDITY,47,1995,1,0
300,ENTROPY-DRIVEN TENSION AND BENDING ELASTICITY IN CONDENSED-FLUID MEMBRANES,47,1990,1,0
301,The role of passive transbilayer drug movement in multidrug resistance and its modulation,47,1996,1,0
302,P-glycoprotein inhibition by membrane cholesterol modulation,47,2008,1,0
303,"Cancer incidence and mortality worldwide: Sources, methods and major patterns in GLOBOCAN 2012",47,2015,1,0
304,P-glycoprotein and membrane roles in multidrug resistance,47,2015,1,0
305,Molecular Docking Characterizes Substrate-Binding Sites and Efflux Modulation Mechanisms within P-Glycoprotein.,47,2013,1,0
306,"Toward a Better Pharmacophore Description of P-Glycoprotein Modulators, Based on Macrocyclic Diterpenes from Euphorbia Species",47,2011,1,0
307,Do Drugs Have Access to the P-Glycoprotein Drug-Binding Pocket through Gates?,47,2015,1,0
308,Insights on P-Glycoprotein's Efflux Mechanism Obtained by Molecular Dynamics Simulations,47,2012,1,0
309,"Assessing the Stabilization of P-Glycoprotein's Nucleotide-Binding Domains by the Linker, Using Molecular Dynamics",47,2013,1,0
310,Do adsorbed drugs onto P-glycoprotein influence its efflux capability?,47,2015,1,0
311,Reversing cancer multidrug resistance: insights into the efflux by ABC transports from in silico studies,47,2015,2,0
312,Cryo-EM Analysis of the Conformational Landscape of Human P-glycoprotein (ABCB1) During its Catalytic Cycle,47,2016,1,0
313,Dynamic and intracellular trafficking of P-glycoprotein-EGFP fusion protein: Implications in multidrug resistance in cancer,47,2004,1,0
314,The Power Stroke Driven by ATP Binding in CFTR As Studied by Molecular Dynamics Simulations,47,2013,1,0
315,Analysis of the Structural and Functional Roles of Coupling Helices in the ATP-Binding Cassette Transporter MsbA through Enzyme Assays and Molecular Dynamics Simulations,47,2014,1,0
