ISSN,TITLE,CITED_OUT,CITED_IN,TOT_ART
1467-5463,BRIEFINGS IN BIOINFORMATICS,0.0,31.0,0.0
1758-0463,Database-The Journal of Biological Databases and Curation,0.0,1.0,0.0
0303-2647,BIOSYSTEMS,25690.0,969.0,709.0
0001-5342,ACTA BIOTHEORETICA,0.0,16.0,0.0
2194-573X,International Journal of Biostatistics,0.0,0.0,0.0
1547-1063,Mathematical Biosciences and Engineering,0.0,37.0,0.0
1431-7613,THEORY IN BIOSCIENCES,0.0,11.0,0.0
1946-6315,Statistics in Biopharmaceutical Research,0.0,0.0,0.0
0385-4035,Hokkaido Mathematical Journal,0.0,0.0,0.0
1759-0876,Wiley Interdisciplinary Reviews-Computational Molecular Science,0.0,0.0,0.0
2156-7018,Journal of Medical Imaging and Health Informatics,0.0,0.0,0.0
1756-0381,BioData Mining,0.0,1.0,0.0
2194-6302,Statistical Applications in Genetics and Molecular Biology,0.0,0.0,0.0
0219-7200,Journal of Bioinformatics and Computational Biology,0.0,2.0,0.0
1913-2751,Interdisciplinary Sciences-Computational Life Sciences,0.0,0.0,0.0
2168-2194,IEEE Journal of Biomedical and Health Informatics,0.0,1.0,0.0
1759-2879,Research Synthesis Methods,0.0,0.0,0.0
1662-5196,Frontiers in Neuroinformatics,0.0,1.0,0.0
2041-1480,Journal of Biomedical Semantics,0.0,0.0,0.0
1751-3758,Journal of Biological Dynamics,0.0,1.0,0.0
1687-5265,Computational Intelligence and Neuroscience,0.0,0.0,0.0
0741-0395,GENETIC EPIDEMIOLOGY,0.0,0.0,0.0
0302-9743,"ADVANCES IN BIOINFORMATICS AND COMPUTATIONAL BIOLOGY, PROCEEDINGS",0.0,198.0,0.0
0027-8424,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.0,922.0,0.0
1471-0072,NATURE REVIEWS MOLECULAR CELL BIOLOGY,0.0,50.0,0.0
1093-9946,FRONTIERS IN BIOSCIENCE-LANDMARK,0.0,4.0,0.0
1545-5963,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,0.0,42.0,0.0
1471-003X,NATURE REVIEWS NEUROSCIENCE,0.0,37.0,0.0
0024-3205,LIFE SCIENCES,0.0,2.0,0.0
1465-6914,GENOME BIOLOGY,0.0,9.0,0.0
BIOMEDICAL ENGINEERING AND COMPUTATIONAL BIOLOGY,BIOMEDICAL ENGINEERING AND COMPUTATIONAL BIOLOGY,0.0,1.0,0.0
0036-8075,SCIENCE,0.0,774.0,0.0
1742-464X,FEBS JOURNAL,0.0,23.0,0.0
2159-8274,CANCER DISCOVERY,0.0,1.0,0.0
0022-3417,JOURNAL OF PATHOLOGY,0.0,3.0,0.0
0950-9232,ONCOGENE,0.0,48.0,0.0
1470-2045,LANCET ONCOLOGY,0.0,1.0,0.0
0092-8674,CELL,0.0,221.0,0.0
0006-2960,BIOCHEMISTRY,0.0,62.0,0.0
0014-2956,EUROPEAN JOURNAL OF BIOCHEMISTRY,0.0,44.0,0.0
0264-6021,BIOCHEMICAL JOURNAL,0.0,44.0,0.0
0964-6906,HUMAN MOLECULAR GENETICS,0.0,11.0,0.0
0265-9247,BIOESSAYS,0.0,75.0,0.0
1472-8222,EXPERT OPINION ON THERAPEUTIC TARGETS,0.0,3.0,0.0
1535-6108,CANCER CELL,0.0,10.0,0.0
0143-3334,CARCINOGENESIS,0.0,5.0,0.0
FRONTIERS IN ONCOLOGY,FRONTIERS IN ONCOLOGY,0.0,1.0,0.0
0022-2836,JOURNAL OF MOLECULAR BIOLOGY,0.0,190.0,0.0
0305-1048,NUCLEIC ACIDS RESEARCH,0.0,336.0,0.0
1932-6203,PLOS ONE,0.0,263.0,0.0
1535-9476,MOLECULAR & CELLULAR PROTEOMICS,0.0,10.0,0.0
0022-2844,JOURNAL OF MOLECULAR EVOLUTION,0.0,137.0,0.0
1088-9051,GENOME RESEARCH,0.0,95.0,0.0
1553-7366,PLOS PATHOGENS,0.0,11.0,0.0
0028-0836,NATURE,0.0,918.0,0.0
1742-5689,JOURNAL OF THE ROYAL SOCIETY INTERFACE,0.0,51.0,0.0
1757-9694,INTEGRATIVE BIOLOGY,0.0,9.0,0.0
Comput. Math. Methods Med,Comput. Math. Methods Med,0.0,1.0,0.0
GCB,GCB,0.0,1.0,0.0
Int. J. Drug Discov.,Int. J. Drug Discov.,0.0,1.0,0.0
CANCER INFORMATICS,CANCER INFORMATICS,0.0,1.0,0.0
1465-6906,GENOME BIOLOGY,0.0,8.0,0.0
0887-3585,PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,0.0,41.0,0.0
1076-9757,JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,0.0,3.0,0.0
1548-7091,NATURE METHODS,0.0,21.0,0.0
2335-6936,PACIFIC SYMPOSIUM ON BIOCOMPUTING 2009,0.0,3.0,0.0
Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,0.0,10.0,0.0
ar Xiv preprint ar Xiv:1604.01740,ar Xiv preprint ar Xiv:1604.01740,0.0,1.0,0.0
IEEE/ACM Transactions on Computational Biology and Bioinformatics,IEEE/ACM Transactions on Computational Biology and Bioinformatics,0.0,1.0,0.0
0968-0896,BIOORGANIC & MEDICINAL CHEMISTRY,0.0,8.0,0.0
1671-4083,ACTA PHARMACOLOGICA SINICA,0.0,2.0,0.0
1054-2523,MEDICINAL CHEMISTRY RESEARCH,0.0,3.0,0.0
1742-206X,MOLECULAR BIOSYSTEMS,0.0,40.0,0.0
0022-2860,JOURNAL OF MOLECULAR STRUCTURE,0.0,1.0,0.0
0223-5234,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,0.0,4.0,0.0
0022-2623,JOURNAL OF MEDICINAL CHEMISTRY,0.0,18.0,0.0
1549-9596,JOURNAL OF CHEMICAL INFORMATION AND MODELING,0.0,19.0,0.0
1046-2023,METHODS,0.0,8.0,0.0
1056-8719,JOURNAL OF PHARMACOLOGICAL AND TOXICOLOGICAL METHODS,0.0,2.0,0.0
0304-3835,CANCER LETTERS,0.0,5.0,0.0
1021-7770,JOURNAL OF BIOMEDICAL SCIENCE,0.0,2.0,0.0
1735-207X,JOURNAL OF THE IRANIAN CHEMICAL SOCIETY,0.0,1.0,0.0
1747-0277,CHEMICAL BIOLOGY & DRUG DESIGN,0.0,3.0,0.0
Int. J. Pharm. Life Sci.,Int. J. Pharm. Life Sci.,0.0,1.0,0.0
Res. Biotechnol.,Res. Biotechnol.,0.0,1.0,0.0
Chem Heterocycl Compd,Chem Heterocycl Compd,0.0,1.0,0.0
1758-2946,JOURNAL OF CHEMINFORMATICS,0.0,2.0,0.0
1381-6128,CURRENT PHARMACEUTICAL DESIGN,0.0,7.0,0.0
0031-7144,PHARMAZIE,0.0,2.0,0.0
1359-6446,DRUG DISCOVERY TODAY,0.0,7.0,0.0
1544-9173,PLOS BIOLOGY,0.0,40.0,0.0
0006-3495,BIOPHYSICAL JOURNAL,0.0,206.0,0.0
1097-2765,MOLECULAR CELL,0.0,39.0,0.0
0021-9258,JOURNAL OF BIOLOGICAL CHEMISTRY,0.0,185.0,0.0
1474-175X,NATURE REVIEWS CANCER,0.0,31.0,0.0
0014-5793,FEBS LETTERS,0.0,72.0,0.0
1465-7392,NATURE CELL BIOLOGY,0.0,23.0,0.0
1350-9047,CELL DEATH AND DIFFERENTIATION,0.0,9.0,0.0
1744-4292,MOLECULAR SYSTEMS BIOLOGY,0.0,100.0,0.0
0022-1007,JOURNAL OF EXPERIMENTAL MEDICINE,0.0,12.0,0.0
1471-0048,NATURE REVIEWS NEUROSCIENCE,0.0,16.0,0.0
0026-895X,MOLECULAR PHARMACOLOGY,0.0,7.0,0.0
0022-1767,JOURNAL OF IMMUNOLOGY,0.0,39.0,0.0
0071-1365,"ESSAYS IN BIOCHEMISTRY: SYSTEMS BIOLOGY, VOL 45",0.0,2.0,0.0
1001-0602,CELL RESEARCH,0.0,4.0,0.0
1949-2553,ONCOTARGET,0.0,1.0,0.0
0008-5472,CANCER RESEARCH,0.0,42.0,0.0
0306-9877,MEDICAL HYPOTHESES,0.0,6.0,0.0
1074-5521,CHEMISTRY & BIOLOGY,0.0,15.0,0.0
1943-0264,COLD SPRING HARBOR PERSPECTIVES IN BIOLOGY,0.0,19.0,0.0
0378-4371,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,0.0,109.0,0.0
0021-9525,JOURNAL OF CELL BIOLOGY,0.0,73.0,0.0
0955-0674,CURRENT OPINION IN CELL BIOLOGY,0.0,31.0,0.0
2041-4889,CELL DEATH & DISEASE,0.0,2.0,0.0
0340-1022,"LOW MOLECULAR MASS GELATORS: DESIGN, SELF-ASSEMBLY, FUNCTION",0.0,2.0,0.0
1755-4330,NATURE CHEMISTRY,0.0,8.0,0.0
0002-7863,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,0.0,66.0,0.0
0169-6149,ORIGINS OF LIFE AND EVOLUTION OF BIOSPHERES,0.0,44.0,0.0
2046-2069,RSC ADVANCES,0.0,2.0,0.0
0009-2541,CHEMICAL GEOLOGY,0.0,2.0,0.0
1463-9262,GREEN CHEMISTRY,0.0,1.0,0.0
1463-9076,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,0.0,9.0,0.0
0175-7571,EUROPEAN BIOPHYSICS JOURNAL WITH BIOPHYSICS LETTERS,0.0,15.0,0.0
0037-0738,SEDIMENTARY GEOLOGY,0.0,1.0,0.0
1380-6165,AQUATIC GEOCHEMISTRY,0.0,1.0,0.0
1040-9238,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,0.0,9.0,0.0
0306-0012,CHEMICAL SOCIETY REVIEWS,0.0,7.0,0.0
Symp. Soc. Exp. Biol.,Symp. Soc. Exp. Biol.,0.0,1.0,0.0
1387-1609,COMPTES RENDUS DE L ACADEMIE DES SCIENCES SERIE II FASCICULE C-CHIMIE,0.0,1.0,0.0
1087-0156,NATURE BIOTECHNOLOGY,0.0,93.0,0.0
1355-8382,RNA-A PUBLICATION OF THE RNA SOCIETY,0.0,43.0,0.0
1472-4677,GEOBIOLOGY,0.0,4.0,0.0
0016-7649,JOURNAL OF THE GEOLOGICAL SOCIETY,0.0,2.0,0.0
1433-7851,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,0.0,17.0,0.0
0021-9797,JOURNAL OF COLLOID AND INTERFACE SCIENCE,0.0,3.0,0.0
1422-0067,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,0.0,12.0,0.0
BIOCHEMISCHE ZEITSCHRIFT,BIOCHEMISCHE ZEITSCHRIFT,0.0,5.0,0.0
Resonance,Resonance,0.0,1.0,0.0
1045-9219,IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,0.0,2.0,0.0
1536-1241,IEEE TRANSACTIONS ON NANOBIOSCIENCE,0.0,16.0,0.0
0920-8542,JOURNAL OF SUPERCOMPUTING,0.0,4.0,0.0
1568-4946,APPLIED SOFT COMPUTING,0.0,18.0,0.0
0743-7315,JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,0.0,3.0,0.0
0096-3003,APPLIED MATHEMATICS AND COMPUTATION,0.0,72.0,0.0
0304-3975,THEORETICAL COMPUTER SCIENCE,0.0,43.0,0.0
1076-2787,COMPLEXITY,0.0,8.0,0.0
0167-739X,FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,0.0,5.0,0.0
0020-0255,INFORMATION SCIENCES,0.0,34.0,0.0
Lecture Notes Computer Science,Lecture Notes Computer Science,0.0,4.0,0.0
0022-0949,JOURNAL OF EXPERIMENTAL BIOLOGY,0.0,41.0,0.0
0032-0935,PLANTA,0.0,64.0,0.0
1221-146X,ROMANIAN JOURNAL OF PHYSICS,0.0,1.0,0.0
1948-7185,JOURNAL OF PHYSICAL CHEMISTRY LETTERS,0.0,2.0,0.0
0021-9606,JOURNAL OF CHEMICAL PHYSICS,0.0,79.0,0.0
0273-1177,SPACE LIFE SCIENCES: ASTROBIOLOGY: STEPS TOWARD ORIGIN OF LIFE AND TITAN BEFORE CASSINI,0.0,12.0,0.0
1546-1955,JOURNAL OF COMPUTATIONAL AND THEORETICAL NANOSCIENCE,0.0,7.0,0.0
1612-1872,CHEMISTRY & BIODIVERSITY,0.0,11.0,0.0
0021-8898,JOURNAL OF APPLIED CRYSTALLOGRAPHY,0.0,3.0,0.0
1528-7483,CRYSTAL GROWTH & DESIGN,0.0,2.0,0.0
1473-5504,INTERNATIONAL JOURNAL OF ASTROBIOLOGY,0.0,3.0,0.0
0009-2614,CHEMICAL PHYSICS LETTERS,0.0,17.0,0.0
0004-637X,ASTROPHYSICAL JOURNAL,0.0,5.0,0.0
1086-9379,METEORITICS & PLANETARY SCIENCE,0.0,1.0,0.0
0026-8976,MOLECULAR PHYSICS,0.0,2.0,0.0
1466-8033,CRYSTENGCOMM,0.0,2.0,0.0
0022-4766,JOURNAL OF STRUCTURAL CHEMISTRY,0.0,1.0,0.0
1616-301X,ADVANCED FUNCTIONAL MATERIALS,0.0,1.0,0.0
Int. J. Astrobiol,Int. J. Astrobiol,0.0,1.0,0.0
J. Chem. Educ,J. Chem. Educ,0.0,1.0,0.0
0935-9648,ADVANCED MATERIALS,0.0,3.0,0.0
0108-7673,ACTA CRYSTALLOGRAPHICA,0.0,5.0,0.0
0040-4020,TETRAHEDRON,0.0,5.0,0.0
0377-0486,JOURNAL OF RAMAN SPECTROSCOPY,0.0,2.0,0.0
1607-6729,DOKLADY BIOCHEMISTRY AND BIOPHYSICS,0.0,2.0,0.0
0091-3057,PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,0.0,4.0,0.0
0045-2068,BIOORGANIC CHEMISTRY,0.0,3.0,0.0
0969-806X,RADIATION PHYSICS AND CHEMISTRY,0.0,1.0,0.0
0033-7587,RADIATION RESEARCH,0.0,2.0,0.0
2041-1723,NATURE COMMUNICATIONS,0.0,8.0,0.0
0035-8711,MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,0.0,4.0,0.0
1434-6060,EUROPEAN PHYSICAL JOURNAL D,0.0,4.0,0.0
0196-9781,PEPTIDES,0.0,4.0,0.0
0022-3263,JOURNAL OF ORGANIC CHEMISTRY,0.0,3.0,0.0
0100-4042,QUIMICA NOVA,0.0,1.0,0.0
1022-1360,MACROMOLECULAR SYMPOSIA,0.0,1.0,0.0
0924-2031,VIBRATIONAL SPECTROSCOPY,0.0,1.0,0.0
0009-2665,CHEMICAL REVIEWS,0.0,13.0,0.0
1674-4527,RESEARCH IN ASTRONOMY AND ASTROPHYSICS,0.0,1.0,0.0
1468-6996,SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,0.0,1.0,0.0
1386-1425,SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,0.0,5.0,0.0
0030-1299,OIKOS,0.0,28.0,0.0
0898-1221,COMPUTERS & MATHEMATICS WITH APPLICATIONS,0.0,12.0,0.0
1054-3139,ICES JOURNAL OF MARINE SCIENCE,0.0,3.0,0.0
0006-3568,BIOSCIENCE,0.0,15.0,0.0
0031-9015,JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN,0.0,7.0,0.0
1064-5462,ARTIFICIAL LIFE,0.0,71.0,0.0
0003-0147,AMERICAN NATURALIST,0.0,76.0,0.0
0305-4470,JOURNAL OF PHYSICS A-MATHEMATICAL AND GENERAL,0.0,22.0,0.0
0034-4885,REPORTS ON PROGRESS IN PHYSICS,0.0,8.0,0.0
0304-3800,ECOLOGICAL MODELLING,0.0,48.0,0.0
2045-2322,SCIENTIFIC REPORTS,0.0,15.0,0.0
1063-651X,PHYSICAL REVIEW E,0.0,60.0,0.0
0269-7653,EVOLUTIONARY ECOLOGY,0.0,17.0,0.0
0018-8158,HYDROBIOLOGIA,0.0,1.0,0.0
Phys. Lett,Phys. Lett,0.0,1.0,0.0
Far East J. Appl. Math,Far East J. Appl. Math,0.0,1.0,0.0
0031-9007,PHYSICAL REVIEW LETTERS,0.0,199.0,0.0
0040-1706,TECHNOMETRICS,0.0,8.0,0.0
0920-5691,INTERNATIONAL JOURNAL OF COMPUTER VISION,0.0,2.0,0.0
0006-3592,BIOTECHNOLOGY AND BIOENGINEERING,0.0,64.0,0.0
0141-0229,ENZYME AND MICROBIAL TECHNOLOGY,0.0,4.0,0.0
2161-2927,2014 33RD CHINESE CONTROL CONFERENCE (CCC),0.0,1.0,0.0
Journal of Integrative Bioinformatics,Journal of Integrative Bioinformatics,0.0,3.0,0.0
Adv. Distrib. Comput. Artif. Intell. J.,Adv. Distrib. Comput. Artif. Intell. J.,0.0,1.0,0.0
Jurnal Teknologi,Jurnal Teknologi,0.0,1.0,0.0
Biosystems,Biosystems,0.0,24.0,0.0
0003-1305,AMERICAN STATISTICIAN,0.0,4.0,0.0
1754-2189,NATURE PROTOCOLS,0.0,22.0,0.0
0005-2728,BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,0.0,46.0,0.0
1664-462X,FRONTIERS IN PLANT SCIENCE,0.0,7.0,0.0
1040-2519,ANNUAL REVIEW OF PLANT PHYSIOLOGY AND PLANT MOLECULAR BIOLOGY,0.0,13.0,0.0
0960-7412,PLANT JOURNAL,0.0,22.0,0.0
1535-9778,EUKARYOTIC CELL,0.0,5.0,0.0
0032-0889,PLANT PHYSIOLOGY,0.0,142.0,0.0
1369-5266,CURRENT OPINION IN PLANT BIOLOGY,0.0,20.0,0.0
0163-4992,CELL BIOPHYSICS,0.0,3.0,0.0
0958-1669,CURRENT OPINION IN BIOTECHNOLOGY,0.0,22.0,0.0
0022-0957,JOURNAL OF EXPERIMENTAL BOTANY,0.0,93.0,0.0
1741-2471,IEE PROCEEDINGS SYSTEMS BIOLOGY,0.0,11.0,0.0
0006-3002,BIOCHIMICA ET BIOPHYSICA ACTA,0.0,91.0,0.0
BIOFUELS-UK,BIOFUELS-UK,0.0,1.0,0.0
Studies in health technology and informatics,Studies in health technology and informatics,0.0,1.0,0.0
1096-7176,METABOLIC ENGINEERING,0.0,32.0,0.0
0734-9750,BIOTECHNOLOGY ADVANCES,0.0,1.0,0.0
1664-302X,FRONTIERS IN MICROBIOLOGY,0.0,6.0,0.0
8756-7938,BIOTECHNOLOGY PROGRESS,0.0,14.0,0.0
1552-4450,NATURE CHEMICAL BIOLOGY,0.0,11.0,0.0
0168-1656,JOURNAL OF BIOTECHNOLOGY,0.0,9.0,0.0
1369-5274,CURRENT OPINION IN MICROBIOLOGY,0.0,22.0,0.0
0009-2509,CHEMICAL ENGINEERING SCIENCE,0.0,17.0,0.0
Genome informatics. International Conference on Genome Informatics,Genome informatics. International Conference on Genome Informatics,0.0,6.0,0.0
Symposia of the Society for Experimental Biology,Symposia of the Society for Experimental Biology,0.0,5.0,0.0
AICHE S SERIES,AICHE S SERIES,0.0,1.0,0.0
BALTIC JOURNAL OF MODERN COMPUTING,BALTIC JOURNAL OF MODERN COMPUTING,0.0,1.0,0.0
1089-5639,JOURNAL OF PHYSICAL CHEMISTRY A,0.0,18.0,0.0
0066-426X,ANNUAL REVIEW OF PHYSICAL CHEMISTRY,0.0,12.0,0.0
0021-9991,JOURNAL OF COMPUTATIONAL PHYSICS,0.0,14.0,0.0
0022-3654,JOURNAL OF PHYSICAL CHEMISTRY,0.0,27.0,0.0
1364-5021,PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,0.0,15.0,0.0
1476-9271,COMPUTATIONAL BIOLOGY AND CHEMISTRY,0.0,63.0,0.0
0253-4827,APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION,0.0,1.0,0.0
0902-4441,EUROPEAN JOURNAL OF HAEMATOLOGY,0.0,1.0,0.0
IEEE/ACM Trans. Comput. Biol. Bioinform.,IEEE/ACM Trans. Comput. Biol. Bioinform.,0.0,3.0,0.0
International Journal of Computational Biology and Drug Design,International Journal of Computational Biology and Drug Design,0.0,1.0,0.0
1063-6919,2012 IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR),0.0,8.0,0.0
0896-6273,NEURON,0.0,92.0,0.0
1077-3142,COMPUTER VISION AND IMAGE UNDERSTANDING,0.0,1.0,0.0
0162-8828,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0.0,8.0,0.0
0340-1200,BIOLOGICAL CYBERNETICS,0.0,74.0,0.0
0925-2312,NEUROCOMPUTING,0.0,37.0,0.0
1522-4880,2013 20TH IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP 2013),0.0,2.0,0.0
1532-4435,JOURNAL OF MACHINE LEARNING RESEARCH,0.0,2.0,0.0
0166-2236,TRENDS IN NEUROSCIENCES,0.0,40.0,0.0
0042-6989,VISION RESEARCH,0.0,8.0,0.0
1550-5499,2011 IEEE INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV),0.0,2.0,0.0
1047-3211,CEREBRAL CORTEX,0.0,13.0,0.0
0270-6474,JOURNAL OF NEUROSCIENCE,0.0,219.0,0.0
0960-9822,CURRENT BIOLOGY,0.0,69.0,0.0
ICML,ICML,0.0,1.0,0.0
1364-6613,TRENDS IN COGNITIVE SCIENCES,0.0,26.0,0.0
0022-3808,JOURNAL OF POLITICAL ECONOMY,0.0,2.0,0.0
0033-2941,PSYCHOLOGICAL REPORTS,0.0,2.0,0.0
0899-7667,NEURAL COMPUTATION,0.0,88.0,0.0
0893-6080,NEURAL NETWORKS,0.0,27.0,0.0
2041-6695,I-PERCEPTION,0.0,1.0,0.0
1664-1078,FRONTIERS IN PSYCHOLOGY,0.0,4.0,0.0
1053-8119,NEUROIMAGE,0.0,10.0,0.0
0962-8436,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0.0,92.0,0.0
0146-7239,MOTIVATION AND EMOTION,0.0,1.0,0.0
2195-4194,EUROPEAN JOURNAL OF FUTURES RESEARCH,0.0,1.0,0.0
1939-5078,WILEY INTERDISCIPLINARY REVIEWS-COGNITIVE SCIENCE,0.0,2.0,0.0
0536-1567,IEEE TRANSACTIONS ON SYSTEMS SCIENCE AND CYBERNETICS,0.0,1.0,0.0
Frontiers in psychology,Frontiers in psychology,0.0,1.0,0.0
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0.0,9.0,0.0
Structural Change and Economic Dynamics,Structural Change and Economic Dynamics,0.0,1.0,0.0
Front. Hum. Neurosci,Front. Hum. Neurosci,0.0,1.0,0.0
Progr. Biophys. Mol. Biol.,Progr. Biophys. Mol. Biol.,0.0,1.0,0.0
Am. Math. Soc.,Am. Math. Soc.,0.0,1.0,0.0
1553-7358,PLOS COMPUTATIONAL BIOLOGY,0.0,25.0,0.0
0014-4819,EXPERIMENTAL BRAIN RESEARCH,0.0,15.0,0.0
0258-123X,LEARNING IN GRAPHICAL MODELS,0.0,1.0,0.0
1065-9471,HUMAN BRAIN MAPPING,0.0,2.0,0.0
1097-6256,NATURE NEUROSCIENCE,0.0,65.0,0.0
1943-0604,IEEE TRANSACTIONS ON AUTONOMOUS MENTAL DEVELOPMENT,0.0,3.0,0.0
0080-4649,PROCEEDINGS OF THE ROYAL SOCIETY SERIES B-BIOLOGICAL SCIENCES,0.0,22.0,0.0
Front. Synaptic Neurosci.,Front. Synaptic Neurosci.,0.0,1.0,0.0
1384-5810,DATA MINING AND KNOWLEDGE DISCOVERY,0.0,1.0,0.0
0079-6107,PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY,0.0,48.0,0.0
0007-0882,BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,0.0,3.0,0.0
Proc. QPL,Proc. QPL,0.0,1.0,0.0
Math. Soc. Sci,Math. Soc. Sci,0.0,1.0,0.0
HFSP J,HFSP J,0.0,1.0,0.0
Phi News,Phi News,0.0,1.0,0.0
"PHYSICIST & THE PHILOSOPHER: EINSTEIN, BERGSON, AND THE DEBATE THAT CHANGED OUR UNDERSTANDING OF TIME","PHYSICIST & THE PHILOSOPHER: EINSTEIN, BERGSON, AND THE DEBATE THAT CHANGED OUR UNDERSTANDING OF TIME",0.0,1.0,0.0
GRAPH STRUCTURE AND MONADIC SECOND-ORDER LOGIC: A LANGUAGE-THEORETIC APPROACH,GRAPH STRUCTURE AND MONADIC SECOND-ORDER LOGIC: A LANGUAGE-THEORETIC APPROACH,0.0,1.0,0.0
1099-4300,ENTROPY,0.0,23.0,0.0
